loc,dow,hr,traffic
DE,1,4,0.3584998280254777
DE,1,5,0.4291155477707006
DE,1,6,0.5066696050955415
DE,1,7,0.5672508152866241
DE,1,8,0.6093719808917197
DE,1,9,0.6412570191082801
DE,1,10,0.6607300191082802
DE,1,11,0.6747800127388537
DE,1,12,0.6911241592356691
DE,1,13,0.704145847133758
DE,1,14,0.7195364394904462
DE,1,15,0.735251770700637
DE,1,16,0.7495622866242041
DE,1,17,0.7760079490445859
DE,1,18,0.82157123566879
DE,1,19,0.8483786433121018
DE,1,20,0.8443779426751591
DE,1,21,0.7615802165605093
DE,1,22,0.6263618025477705
DE,1,23,0.4893729554140128
DE,2,0,0.39449640127388524
DE,2,1,0.33057101273885353
DE,2,2,0.30496231210191077
DE,2,3,0.31688838216560505
DE,2,4,0.3660992993630573
DE,2,5,0.4341419872611465
DE,2,6,0.5102822675159235
DE,2,7,0.5669479615384616
DE,2,8,0.6132759551282052
DE,2,9,0.643814487179487
DE,2,10,0.6616944294871794
DE,2,11,0.6754331538461538
DE,2,12,0.6959407500000001
DE,2,13,0.7059936666666666
DE,2,14,0.723261532051282
DE,2,15,0.7310636410256409
DE,2,16,0.7489199102564104
DE,2,17,0.7740803525641027
DE,2,18,0.8180274871794874
DE,2,19,0.84731566025641
DE,2,20,0.8483609807692307
DE,2,21,0.7626776602564104
DE,2,22,0.6216727564102564
DE,2,23,0.4837921987179489
DE,3,0,0.3916623397435897
DE,3,1,0.3301027115384616
DE,3,2,0.3066610448717949
DE,3,3,0.32012364102564095
DE,3,4,0.3696641794871795
DE,3,5,0.4410537628205128
DE,3,6,0.5120978653846154
DE,3,7,0.5683459743589744
DE,3,8,0.6138759743589743
DE,3,9,0.6472703717948716
DE,3,10,0.6656164166666667
DE,3,11,0.6785195320512823
DE,3,12,0.6998842756410258
DE,3,13,0.7106360064102565
DE,3,14,0.7297699038461539
DE,3,15,0.7410038397435897
DE,3,16,0.7534190320512822
DE,3,17,0.7793775128205127
DE,3,18,0.8182099230769231
DE,3,19,0.8500388076923076
DE,3,20,0.845180608974359
DE,3,21,0.7660891923076922
DE,3,22,0.6286006217948716
DE,3,23,0.49260843589743586
DE,4,0,0.3986627307692307
DE,4,1,0.332695891025641
DE,4,2,0.3056332948717948
DE,4,3,0.3159501923076922
DE,4,4,0.3644090256410256
DE,4,5,0.4402101923076924
DE,4,6,0.5142696217948719
DE,4,7,0.5728945384615385
DE,4,8,0.6161327628205129
DE,4,9,0.6438235897435899
DE,4,10,0.6620067564102564
DE,4,11,0.676860782051282
DE,4,12,0.6902933461538459
DE,4,13,0.7017988525641027
DE,4,14,0.7138236794871795
DE,4,15,0.7319062692307688
DE,4,16,0.7416669230769231
DE,4,17,0.7679036474358971
DE,4,18,0.8092890961538464
DE,4,19,0.8423864423076923
DE,4,20,0.8422738782051281
DE,4,21,0.775096628205128
DE,4,22,0.6504854871794872
DE,4,23,0.515185141025641
DE,5,0,0.4167527564102565
DE,5,1,0.3455931666666666
DE,5,2,0.3134570705128205
DE,5,3,0.31951315384615386
DE,5,4,0.3647107500000001
DE,5,5,0.43827346794871813
DE,5,6,0.5223343974358974
DE,5,7,0.5822041025641025
DE,5,8,0.627559898089172
DE,5,9,0.6474225987261146
DE,5,10,0.6648252866242038
DE,5,11,0.6846236050955415
DE,5,12,0.7056908980891723
